"-"
"Dupont, Michel"
"Duquoc, Christian"
"Durand, Jean-Dominique"
"Durand, Jean-Paul"
"Durand, Jean-Paul u. a."
"Dura, Nicolae"
"Durán, Juan G."
"Durán Rivacoba, Juan"
"Durán Sampson, José"
"Duran y Lalaguna, Paloma"
"Durany Pich, Ignacio"
"Düren, Peter Ch."
"Düren, Peter C."
"Düren, Sabine"
"Durham, W.Cole","1029068895"
"Durham, W. Cole Jr.","1029068895"
"Durighetto, Claudio"
"Durisotto, David"
"Dürschke, Joachim"
"Durwell, François-Xavier"
"Dusil, Stephan"
"Duston, R. A."
"Dütemeyer, Dirk"
"Dütz, Wilhelm"
"Duval, Joseph"
"Duve, Thomas"
"Dvo?á?ek, Ji?í"
"Dvoracek, Jiri"
"DVR-S"
"Dyba, Johannes"
"Dybowski, Stefan"
"Dyduch, Jan"
"Dyduch, Jan M."
"Dyjakowska, Marzena"
"Dziega, Andrzej"
"Dzier?on, Ginter"
"Dzierzanowski, Jerzy"
"Dzierzon, Ginter"
"Dzi?ga, Andrzej"
"Eagers, John"
"Earl, Benjamin"
"Easton, Fred C."
"Easton, Frederick"
"Easton, Frederick C."
"Easton, Frederik C."
"Ebel, Else"
"Ebel, Friedrich"
"Ebeling, Gerhard"
"Eberhardt, Monika"
"Eberle, Susanne"
"Eberl, Immo"
"Ebertz, Michael"
"Ebertz, Michael N."
"Ebner, Robert"
"Ebneter, Albert"
"E. C."
"Ecat, Perfecto G."
"Échappé, Olivier","1130280217"
"Echeverría Bouche, Carlos E."
"Echterhoff, Anna"
"Echterhoff, Anna M."
"Eckart, Joachim"
"Eckerstorfer, Bernhard A."
"Eckerstorfer, Bernhard"
"Eckert, Raphaël"
"Eckhardt, Wilhelm A."
"Eckholt, Margit"
"Edenharter, Andrea"
"Eder-Cakl, Gabriele"
"Eder, Helmut"
"Eder, Joachim"
"E-Diözesanadministrator"
"Edstadler, Karl W."
"Edtstadler, Karl"
"Edwards, Peter"
"Edwards, Q."
"Egan, Edward M."
"Egan, Keith J."
"Egas Egüez, Francisco J."
"Eggensperger, Thomas"
"Egido, J. P."
"Egler Anna"
"Egler, Anna"
"EGMR","1003803-6"
"EGMR (IV. Kammer)","1003803-6"
"Eguiguren Tagle, Fernando"
"Eguras Iriarte, José M."
"Eguren Amororrtu, Juan A."
"Ehlers, Dirk"
"Ehnes, Herbert"
"Ehrenzeller, Bernhard"
"Ehret, Jean"
"Ehrlich, Gabriele-Maria"
"Eibach, Gerhard"
"Eichbauer, Melodie H."
"Eichener, Alexander"
"Eich, Klaus-Gerd"
"Eichmann, Eduard"
"Eicholt, Bernd"
"Eick-Wildgans, Susanne"
"Eid, Emile"
"Eid, Emilio"
"Eijsink, Anton H."
"Eisenring, Gabriela"
"Eisfeld, Jens"
"Eisgruber, Christopher L."
"Ejeh, Benedict"
"Ejeh, Benedict N."
"EKD","2009798-0"
"Eke, Mmaju"
"EKMR"
"Ekombo Tambwe, Jean-Pieree"
"Ekpo, Anthony"
"El Ayoubi, Mostafa"
"El Bramousy, Johannes"
"Elchardus, Mark"
"Elget, Axel"
"El-Hayek, Elias"
"Elia, Leopoldo"
"Elias de Tejada, Francisco"
"Elizondo, F."
"Ellenhuber, Hans"
"Ellul, Joseph"
"Elmes, Herbert"
"El Ministerio de Justicia"
"Elmisi Ilari, Damiano"
"Elsbernd, Mary"
"Eltrop, Bettina"
"Elze, Martin"
"EMGR"
"Emilianides, Achilles"
"Emmerich, Volker"
"EMRK","4015727-1"
"Emsbach, Heribert"
"Encina Commentz, Carlos"
"Ender, Erwin J."
"Enders, Christoph"
"Enders, Ursula"
"Endrös, Alfred"
"Enemali, Aloysius"
"Engelbrecht, Kai"
"Engelen, Eva M."
"Engelhard, Daniela"
"Engelhardt, Hanns"
"Engelhardt, Hans"
"Engelhart, Hans"
"Engel, Ulrich"
"Englard, Izhak"
"Englert, Rudolf"
"Englisch, Joachim"
"Enichlmayr, Johannes"
"Ennaifer, H'mida"
"Ennuschat, Jörg"
"Enríquez Sánchez, José M."
"?eplíková, Margita"
"Eposito, Bruno"
"Epping, Volker"
"Equizi, Massimiliana"
"Erazo E., Jefferson A."
"Erbacher, Jürgen"
"Erbischof von Freiburg"
"Erbischof von Hamburg"
"Erbischof von Köln"
"Erbischof von München"
"Erblang, André"
"Erb, Mariebeth"
"Erdbürger, Heinz"
"Erdo, Péter"
"Erdö, Péter"
"Erd?, Péter"
"Erhardt, Hans-Jochen"
"Erickson, John H."
"Erkens, Franz-Reiner"
"Erker, Adalbert"
"Erlebach"
"Erlebach, Gregor"
"Erlebach, Gregorio"
"Erlebach, Gregorius"
"Erlebach, Grzegorz"
"Ermacora, Felix"
"Ernesti, Jörg"
"Ernst, Stephan"
"Ernst, Wolfgang"
"Erny, Pierre"
"Erpen, Décio A."
"Erraràruiz, Carlos J."
"Erráruiz M. , Carlos J."
"Erráruiz M., Carlos J."
"Erráruriz M., Carlos J."
"Errázuris M., Carlos J."
"Errázuriz, Carlos J."
"Errázuriz, Carlos J. M."
"Errázuriz, Carlos José"
"Errázuriz Mackenna, Calos José"
"Errázuriz Mackenna, Carlos J."
"Errázuriz M., Carlos J."
"Errázuriz M., Carlos José"
"Errera, Andrea"
"Erskine, Jim"
"Ertzbischof von Bamberg"
"Erzbichof von Freiburg"
"Erzbischof Christofor"
"Erzbischof Gerhard L. Müller"
"Erzbischof Giovanni Lajolo"
"Erzbischöfliches Generalvikariat"
"Erzbischöfliches Ordinariat Freiburg"
"Erzbischof Marcello Bartolucci"
"Erzbischof vom Bamberg"
"Erzbischof von Bamberg"
"Erzbischof von Berlin"
"Erzbischof von Freiburg"
"Erzbischof von Hamburg"
"Erzbischof von Hamburg, Bischof von Osnabrück, Bischof von Hildesheim"
"Erzbischof  von Köln"
"Erzbischof von Köln"
"Erzbischof von La Plata"
"Erzbischof von Mendoza"
"Erzbischof von München und Freising"
"Erzbischof von Paderborn"
"Erzbischof von Paderbron"
"Erzbischof von Prag"
"Erzbischof von Salzburg"
"Erzbischof von Vaduz"
"Erzbischof von Wien"
"Erzbistümer Rheinland-Pfalz und Land Rheinland-Pfalz"
"Erzbistum Freiburg"
"Erzbistum Paderborn"
"Esbeck, Carl H."
"Esbroeck, Michel van"
"Escaffre, François"
"Escalante, Luis"
"Escalante, Luis F."
"Eschbach, Urs"
"Escher, Markus"
"Eschlböck, Laurentius"
"Esch, Tabea M."
"Escobar Herrán, Guillermo León"
"Escrivá-Ivars, Javier"
"Escudero, José"
"Eser, Alwin"
"Eshelman, Larry L."
"Espeche Gil, Miguel A."
"Espelage, Arthur J"
"Espelage, Arthur J."
"Espinosa Sarmiento, José-Miguel"
"Espinós Bonmatí, Alejandro"
"Esposito, Bruno,"
"Esposito, Bruno"
"Esposito, Juan"
"Esquivias, Antonio"
"Esser, Günter"
"Eßer, Günter"
"Esterbauer, Albert T."
"Esterbauer, Reinhold"
"Estermann, Josef"
"Esther Geißlinger"
"Estrada, Rui"
"Etscheid-Stams, Markus"
"Ettl, Hans-Peter"
"Etxeberría, Juan J."
"Etzel, Günter"
"Etzelmüller, Gregor"
"Etzi, Priamo"
"Euart, Sharon A."
"EuGH","5103273-9"
"EuGHMR","1003803-6"
"EuGHMR, Große Kammer","1003803-6"
"European Consortium for Church-State Research"
"Eusebi, Luciano"
"Evangelische Landeskirche des Kantons Thurgau"
"Evangelische Landeskirche Genf"
"Evangelische Landeskirche Thurgau","  10026235-1 "
"Evangelisch-lutherische Landeskirche in Braunschweig"
"Evangelisch-Lutherische Landeskirche Sachsen"
"Evangelisch-Reformierte Landeskirche des Kantons Luzern","5506552-1"
"Evangelisch-reformierte Landeskirche des Kantons Zürich"
"Evangelisch-Reformierte Landeskirche Uri","1086009282"
"Evans, Carolyn Maree"
"Evans, Malcom D."
"Everitt, Edward E."
"Evers, Georg"
"Evers, Hans-Ulrich"
"Ewering, Gregor"
"Ewers, Heinrich","1117441482"
"Exekutivausschuss der Leuenberger Kirchengemeinschaft (Bukowski, Petre"
"Ex Ephemeride L'Osservatore Romano"
"Eyjólfsson, Sigurjón Á."
"Eykmann, Walter"
"Eyskens, Mark"
"Eyt, Pierre"
"Fabbri, Alberto"
"Fabene, Fabio"
"Faber, Eva-Maria"
"Fabre, Eugenio J."
"Fabre, Jean-Michel"
"Fabris"
"Fabris, Adriano"
"Fabris, Carlo"
"Fabris, Consatntino M."
"Fabris, Constantino"
"Fabris, Constantino M."
"Fabris, Constantino-M."
"Fabris, Constantiono-M."
"Fabris, Costantino-Matteo"
"Fabris, Costantino-M."
"Fabritz, Peter"
"Faccani, Mariano"
"Fachbereich der Katholischen Theologie der Goethe-Universität Frankfurt a. M.","2178541-7"
"Fachet, Siegfried"
"Faggioli, Massimo"
"Faggioni, Maurizio"
"Faggioni, Maurizio P."
"Fagiolo, Vicenzo"
"Fagiolo, Vincenzo"
"Fahey, Michael A."
"Fahr, Friedrich"
"Fahrnberger, Gerhard"
"Faílde, Juan José García"
"Faivre, Alexandre"
"Faka, M."
"Falba, Marcelino"
"Falcão, Miguel"
"Falcão, Miquel"
"Falchi, Francesco"
"Falchi, Franceso"
"Falchi, Gian L."
"Falchi, Gian Luigi"
"Falcon, Florio R."
"Falise, Michael"
"Falkenstein, Ludwig"
"Falk-Lutz-Bachmann, Gudrun"
"Falque, Emma"
"Falterbaum, Johannes"
"Faltin, Daniel","1020767464"
"Falusi, Gabriel K."
"Families"
"Famos, Cla Reto"
"Fanella, Alessandro"
"Fanelli, Antonius"
"Fantappè, Carlo"
"Fantappiè, Carlo"
"Fantelli, Paola"
"Faraj, Jean"
"Farcas, Benone"
"Farhat, Edmond"
"Fariña Vaccarezza, Silvio J."
"Faris, John D."
"Faris, John"
"Farley, Margaret A."
"Farnham, Janice"
"Farnós, Jordi B."
"Farraher, J.-J."
"Farrely, Adrian"
"Farret, Alain"
"Farrugia, Edward G."
"Fasching, Heinrich"
"Fasolo, Ciro B."
"Fasolt, Constantin"
"Fattori, Gabriele"
"Fattori, Maria T."
"Faußner, Hans C."
"Fausta Maternini Zotta, Maria"
"Fauth, Dieter"
"Favara, Salvatore"
"Favaro, Andrea"
"Fazio, Mariano"
"Fechter, Friedrich"
"Fedele, Pio"
"Fedriga, Riccardo"
"Feenstra, Robert"
"Feeser-Lichterfeld, Ulrich"
"Fegert, Jörg M."
"Feichtinger, Hans"
"Feickert, Arne"
"Feige, Gerhard"
"Feine, Hans-Erich"
"Feiter, Reinhard"
"Felder, Gerd"
"Feldhans, Verena"
"Feldhauer, David E."
"Feldhoff, Norbert"
"Feldmann, Michael"
"Feldmann, Reinhold"
"Feliciani, Giorgio"
"Felici, Pericle"
"Félix Ballesta, María A."
"Fellay, Bernard"
"Feller, Reto"
"Fellhauer, David E."
"Felmberg, Bernhard"
"Felmy, Karl C."
"Fendrich, Herbert"
"Feng, Huang"
"Fennel, John"
"Fennell, John"
"Ferber, Markus"
"Ferenczy, Rita"
"Ferguson, Timothy T."
"Ferjani, Mohamed C."
"Ferlito, Sergio"
"Ferme, Brian"
"Ferme, Brian Edwin"
"Ferme, Brian E."
"Fernandes, W."
"Fernandez Arruty, José A."
"Fernández Cadavid, J. L."
"Fernández Cadavid, José L."
"Fernández Conde, María T."
"Fernández Fernández, Xoan Xosé"
"Fernández, Jaime J."
"Fernández, José M."
"Fernández Molina, Cristina"
"Fernández San Román, José"
"Fernandez, Sergio"
"Fernando Massolini, Paulo"
"Ferraboschi, Mario"
"Ferrante, Mario"
"Ferrara, Sotir"
"Ferrara, Vincenzo"
"Ferrari, Alessandro"
"Ferrario, Fulvio"
"Ferrari, Silvio"
"Ferrari, Sivio"
"Ferrari, Sylvio"
"Ferrari-Toniolo, Agostino"
"Ferrari, Valentino"
"Ferraro, Giuseppe"
"Ferraro, Nicolaus"
"Ferrata, I. B."
"Ferreira Dos Santos, Luis Claudio"
"Ferreira Pena, Jair"
"Ferrer Ortiz, Javier"
"Ferrer y Grensche, Juan Miguel"
"Ferro Carrasquilla, Jorge H."
"Festera, F."
"Fetscher, Waldtraut"
"Feulner, Hans-Jürgen"
"Fey, Detlev"
"FG Baden-Württemberg"
"FG Baden-Württemberg, Außensenat Stuttgart"
"FG Berlin"
"FG Bremen","4829824-4"
"FG Duisburg"
"FG Düsseldorf","4830600-9"
"FG Hamburg","1242473-0"
"FG Hessen","3048709-2"
"FG Köln","4830601-0"
"FG Mecklenburg-Vorpommern","4242861-0"
"FG München","10196223-X"
"FG Münster","7785621-1"
"FG Niedersachsen","2150013-7"
"FG Nürnberg"
"FG Rheinland-Pfalz","2030790-1"
"FG Rheinlnd-Pfalz","2030790-1"
"FG Saarland","4829039-7"
"FG Sachsen-Anhalt","4828106-2"
"FG Schleswig-Holstein","6122000-0"
"FG Thühringen","5256735-7"
"FG Thüringen","5256735-7"
"Fickenscher, Elisa-Sophie"
"Fiedler, Albrecht"
"Figueira, Robert"
"Figura, Michael"
"Filesi, Teobaldo"
"Filibeck, Giorgio"
"Filipazzi, Antonio"
"Filipiak, Agnes"
"Filipi, Pavel u. a.)"
"Filipovitch, Lyudmila"
"Filmer, Fridjof"
"Filo, Július"
"Filoni, Fernando"
"Filoramo, Giovanni"
"Filo, Vladimir"
"Finamore, Rosanna"
"Finanzkammer Augsburg"
"Finanzkammer Regensburg"
"Finanzkammer Salzburg"
"Finanzkammer St. Pölten"
"Finanzkammer Würzburg"
"Finifini Matenhani, Antoine"
"Fink-Wagner, Urban"
"Finney, John T."
"Finn, Thomas J."
"Finn, Virginia S."
"Finocchiaro, Francesco"
"Finzel, Helmut"
"Fiocco, Salvatore"
"Fiore, Ernesto"
"Fiori, Roberto"
"Fiorita, Nicola"
"Firey, Abigail"
"Fischedick, Walter"
"Fischer, A."
"Fischer, Erwin"
"Fischer, Georg","http://d-nb.info/gnd/122345215"
"Fischer, Heinz-Joachim"
"Fischer, Kenneth E."
"Fischer, Klaus P."
"Fischer, Luisa"
"Fischer, Mark F."
"Fischer, Martin"
"Fischer, Roman"
"Fischer, Thomas"
"Fischer, Udo"
"Fischli-Giesser, Liz"
"Fischmann-Schulz, Gabriele"
"Fisch, Menachem"
"Fisichella, Rino"
"Fister, Mathis"
"Fiter, Roger"
"Fitzgerald, Michael"
"Fitzpatrick, R."
"Flach, Dieter"
"Flachsbarth, Maria"
"Flader, John"
"Flaherty, Helen"
"Flanagan, Brian"
"Flannery, Kevin L."
"Flatten, Heinrich"
"Flecha Andres, Jose R."
"Fleck, Carola"
"Fleckl, Andreas"
"Fleckstein, Gisela"
"Fleiner-Gerster, Thomas"
"Fletcher, Peter"
"Fletcher, Richard"
"Flinn, Robert J."
"Flogaus, Reinhard"
"Flood, Michelle"
"Flores, Danilo R."
"Flores Jimeno, María del Rocío"
"Flores-Lonjou, Magalie"
"Flores-Saiffe Garí, Mario"
"Flores Santana, Gonzalo"
"Floria, Juan Navarro"
"Flügel, Karl"
"Flummerfelt, Robert"
"Flummerfelt, Robert J."
"Flynn, James-Daniel"
"Fogarty, Gerald P."
"Fogel, Dorian S."
"Fögen, Marie T."
"Foglia, Andrea"
"Foitzik, Alexander"
"Fokci?ski, Hieronim"
"Foley, John J."
"Folio, Francesco"
"Folkers, Horst"
"Folliero, Maria C."
"Fonk, Peter"
"Fontaine, Jacques"
"Fontanarosa, Americo"
"Font Boix, Ignacio"
"Fontelle, Marc-Antoine"
"Fontez, Pierre"
"Forconi, Maria C."
"Forconi, M. Christina"
"Förderalversammlung der Tschechischen und Slowakischen Föderativen Republik"
"Ford, John T."
"Formés, Juan"
"Formoso, Gary Noel S."
"Formoso, Gary N. S."
"Fornasari, Giuseppe"
"Forneck, Torsten-Christian"
"Fornés de la Rosa, Juan"
"Fornés, Juan","1056349573"
"Fornieles, Salvador J."
"Forschungsgruppe Religion und Gesellschaft"
"Förster, Hans"
"Forster, Michael"
"Förster, Peter"
"Först, Johannes"
"Forstmann, Philippe"
"Forstner, Martin"
"Forte, Bruno"
"Fortier, Vincente"
"Fortin, Ernest L."
"Fortino, Eleuterio F."
"Fortuna, Iosif"
"Fortunati, Maura"
"Foster, John J."
"Foster, John J. M."
"Foster, Martin"
"Foster, Michael S."
"Foster, Nicholas H. D."
"Föst, Johannes"
"Fournier, Pascale"
"Fournier, Paul"
"Fowler-Magerl, Linda"
"Fox, Helmut"
"Fox, Joseph"
"Frage-Rüther, Annemarie"
"Fragnelli, Pietro"
"Fraher, Richard M."
"Fraling, Bernhard"
"Francavilla, Domenico"
"Franceschi, Fabio"
"Franceschi F., Héctor"
"Franceschi, Héctor"
"Francesco, Ignazio de"
"Francheschi, Héctor"
"Franchetto, Fabio"
"Francis, Marcus"
"Franck, Bernard"
"Franck, María I."
"Franik, Virginia"
"Franitza, Andreas"
"Frank, Antoine"
"Franke, Konstantin"
"Frank, Elias"
"Frankemölle, Hubert"
"Frank, Engelbert"
"Frank, Günter"
"Frank, Joachim"
"Frank, Johann"
"Frank, Willi"
"Frank, William A."
"Fransen, Gérard"
"Franz, Albert"
"Franz, Ansgar"
"Franziksus I."
"Franzini, Carlos M."
"Franziska Broich"
"Franziskus","1032307897"
"Franziskus (Papst)","1032307897"
"Frassek, Ralf"
"Frattallone, Raimondo"
"Fraulsen, Karl C."
"Fraxanet, Carlos"
"Freckenhorster Kreis"
"Freedman, Paul"
"Fregonese, Daniele"
"Frégosi, Franck"
"Freie Christengemeinde-Pfingstgemeinde in Österreich"
"Freie Hansestadt Bremen"
"Freier, Konrad"
"Freie und Hansestadt Hamburg"
"Freiherr von Castell, Ernst"
"Freilinger, Christoph"
"Freiling, Paul-Stefan"
"Freisinger Bischofskonferenz"
"Freistaat Bayern"
"Freistaat Sachsen"
"Freistaat Thüringen","4059979-6"
"Freitag, Elke"
"Freitag, Josef"
"Frevel, Christian"
"Freyer, Thomas"
"Frey, Hans-Günther"
"Frey, Jakob"
"Frey, Peter"
"Friday, Robert M."
"Friedel, Andreas"
"Friederich, Ueli"
"Fried, Johannes"
"Friedlander, Carl"
"Friedlander, Colette"
"Friedlmayer, Helmut"
"Friedlmeyer, Helmut"
"Friedmann, Alejandro M."
"Friedner, Lars"
"Friedrich, Martin"
"Friedrich, Otto"
"Friedrich, Wolfgang"
"Frieling, Reinhard"
"Friesenhahn, Ernst"
"Friese, Stefanie"
"Frieß, Michael"
"Frigger, Urs F."
"Frings, Peter"
"Frings, Thomas"
"Frioui, Mohamed"
"Frisby, Keith"
"Frisch, Michael","1028372523"
"Friselle, Laura"
"Frisulli, Silvia"
"Fritsch, Andreas"
"Fritz, Alexis"
"Fritzen, Karl-Bruno"
"Fritz, Paul-Johannes"
"Froehle, Brian"
"Fromont, Jacques"
"Fronza, Javier"
"Frost, Francis"
"Frost, Herbert"
"Frowein, Jochen"
"Frugé, Donald"
"Frugiuele, Lorenzo"
"Frühauf, Wolf"
"Frunza, Sandu"
"Frutaz, Amato P."
"Fubini, Guido"
"Fucek, Ivan"
"Fuchs, Bernadetta"
"Fuchs, Claudio"
"Fuchs, Gotthard"
"Fuchs, Guido"
"Fuchs, Johannes G."
"Fuchs, Josef"
"Fuchs, Katharina A."
"Fuchs, Lorelei F."
"Fuchs, Ottmar"
"Fuente, A. González"
"Fuentes Calero, Andrés"
"Fuentes, José A."
"Fuentes, José Antonio"
"Fuertes, Josephus B."
"Fueyo, Beatriz G."
"Fueyo, María A."
"Fuhrmann, Horst"
"Fuhrmann, Manfred"
"Fuhrmann, Martin"
"Fülbier, Ulrich"
"Fuligni Ritzu, Andrea"
"Fumagalli Carulli, Ombretta"
"Fumagalli-Carulli, Ombretta"
"Funder, Achim"
"Funghini, Raffaele"
"Funghini, Raffaello"
"Funghini, Raphaël"
"Funk, Bernd-Christian"
"Funke, Thomas G."
"Fürer, Ivo"
"Furger, Franz"
"Furgiuele, Giovanni"
"Furler, Frieder"
"Fürlinger, Ernst"
"Furrer, Hans-Peter"
"Fürst, Anna E."
"Fürst, Carl G."
"Fürst, Gebhard"
"Fürst, Walter"
"Fuschini, Christina"
"Fusco, Carlo"
"Fusi-Pecci, Odo"
"Füssel, Kuno"
"Gaay Fortman, Bas de"
"Gabiola, Joseph D."
"Gábor, Hamza"
"Gabrieli, Christian"
"Gabriel, Ingeborg"
"Gabriel, Karl"
"Gabriels, André"
"Gaertner, Joachim"
"Gaetani, Alessandra"
"Gafaell, Pablo"
"Gaffney, James"
"Gagliano, Gabriella"
"Gagliardi, Lorenzo"
"Gagnon, Edouard"
"Gahbauer, Ferdinand"
"Gahl, Robert A."
"Gahona Fraga, Luis"
"Gaid, Yoannis Lahzi"
"Gaillardetz, Richard"
"Gajda, Ewa"
"Galante, Joseph A."
"Galanti, C."
"Galati, Michela"
"Galavotti, Enrico"
"Galdi, Francesco"
"Galea, Daniel F."
"Galkowski, Tomasz"
"Galkowski, Tomasz CP"
"Gallagher, Clarence"
"Gallagher, Marjory"
"Gallagher, Paul R."
"Gallardo, Juan M."
"Gallardo, Milagros"
"Gallaro, George D."
"Gallaro, George Dmitry"
"Gallaro, George"
"Gallaro, Giorgio D."
"Gallego Rodríguez, Fernando"
"Gallegos Sánchez, Katrin"
"Gallen, Joseph F."
"Galles, Duane L. C. M."
"Galliani, Giulio"
"Galli, Carlos M."
"Galligan, Timothy"
"Gallina, Ernesto"
"Gallin, Alice"
"Gallo, Filippo"
"Gall, Robert"
"Gally, Djovi"
"Galrev, Til"
"Galvin, John P."
"Gambale, Romualdo"
"Gambari, Elio"
"Gambi, Paolo"
"Gambke, Michael"
"Gamillscheg, Franz"
"Gampl, Inge"
"Ganarin, Manuel"
"Gandía Barber, J.D."
"Gandía Barber, Juan D."
"Gandía Barber, Juan Damían"
"Gandini, Allessandro"
"Gangoiti, Benito"
"Ganoczy, Alexandre"
"Ganslmeier, Florian"
"Ganster, Susanne"
"Gänswein, Georg"
"Gantly, Mark J."
"Ganzer, Klaus"
"Gaona Moreno, Jesus"
"Garacimartín Montero, Carmen"
"Garancini, Gianfranco"
"Garavello, Oscar"
"Garbrecht, Oliver"
"García Alonso, Marta"
"Garcia Balart, Nuria"
"García-Berbel Molina, Antonio"
"García Cevallos, Alfredo R."
"Garcia de Haro, Ramón"
"Garcia, E."
"Garcia, E. E."
"Garcia Failde, Juan J.","104359180X"
"García, Francisco J. M."
"García Fueyo, Beatriz"
"García Gárate, Alfredo"
"García García, Ricardo"
"García Hervás, Dolores","1056378921"
"Garcia López, Ramón"
"Garcia, Louis M."
"García Madrid, Antontio"
"García, María C."
"García Martín, Carlos"
"García Martin, Julio"
"García Martín, Julio"
"García Matamoro, Luis"
"García Matamoro, Luis A."
"García Matamoro, Luis, OP"
"García Mateo, Rogelio"
"García Montagud, Jorge"
"García Navarro, Juan J."
"García Oro, José"
"Garcia, Otto"
"García-Pardo, David","105652605X"
"García Peña, Carmen"
"García Prous, Concha"
"Garcia, Q. M."
"García Quiroga, Ernesto"
"García Sánchez, Jerónimo"
"García Sánchez, Justo"
"García Trapiello, Jesús"
"García Vilardell, Rosa"
"García y García, A."
"Garcia y Garcia, Antonio"
"García y García, Antonio"
"Garcimartín, Carmen"
"Garczarek, Wies?aw"
"Gardaz, Philippe"
"Garde, Peter"
"Gardner, Jane F."
"Garelli, Franco"
"Gargani, Alberto"
"Gargaro, Paul"
"Gargiolli Testa, Maria G."
"Garhammer, Erich"
"Garijo-Guembe, Miguel M."
"Garín Urionabarrenechea, Pedro M."
"Garín Urionbarrenechea, Pedro M."
"Garralda Arizcum, Gabriel"
"Garraud, Luc"
"Garrett, Gérard"
"Garrido Falla, Fernando"
"Garriga, Pere T."
"Garrity, Robert M."
"Garrote Bernabé, Luis J."
"Gartner, Barbara"
"Gärtner, Heribert W."
"Gartner-Müller, Barbara"
"Garuti, Paolo"
"Gas Aixendri, Montserrat"
"Gas-Aixendri, Montserrat"
"Gasche, Walter"
"Gas i Aixandri, María de Montserrat"
"Gas i Aixendri, María de Montserrat"
"Gas i Aixendri, Montserrat"
"Gasparri, Pietro"
"Gasper, Hans"
"Gaßmann, Günther"
"Gatta, Gian Luigi"
"Gatti, Mauro"
"Gatz, Erwin"
"Gatzhammer, Stefan"
"Gaudemet, Jean"
"Gaupl, Inge"
"Gaus, Edeltraud"
"Gauthier, Albert"
"Gavin, Fintan"
"Gaya Sicilla, Regina"
"Gbaka-Brédé, Landry"
"Gebauer, Roland"
"Gebhard, Sonja"
"Gebhardt, Winfried"
"Gedicks, Frederick M."
"Geerlings, Wilhelm"
"Geeroms, Gabriella"
"Gefaell, Pablo"
"Gefaell, Paplo"
"Gehring, Heinrich"
"Gehr, Josef"
"Geisenberger, Ute"
"Geis, Günther"
"Geisinger, Robert"
"Geisinger, Robert J."
"Geisser, Hans F."
"Geissler, Dorothea"
"Geißlinger, Esther"
"Gelder, Katrin"
"Geli, Leroy R."
"Gellard, Jaques"
"Gelmi, Josef"
"Gemeinsamer orthodox-katholischer Arbeitskreis St. Irenäus"
"Gemeinsames KArbG Hamburg"
"Gemma, Andrea"
"Gemmiti, Dante"
"Generalsekretariat der Bischofssynode"
"Generalviakriat von Rottenburg-Stuttgart"
"Generalvikal von Passau"
"Generalvikar des Bischofs von Fulda"
"Generalvikar des Bischofs von Limburg"
"Generalvikar des Bischofs von Limburg mit Mandat der Kongregation für die Bischöfe"
"Generalvikar des Bischofs von Trier"
"Generalvikar EI"
"Generalvikariat"
"Generalvikariat BA"
"Generalvikariat Bamberg"
"Generalvikariat Berlin"
"Generalvikariat Dresden-Meißen"
"Generalvikariat EI"
"Generalvikariat Eichstätt"
"Generalvikariat Erfurt"
"Generalvikariat Freiburg"
"Generalvikariat Fulda"
"Generalvikariat Hamburg"
"Generalvikariat Hildesheim"
"Generalvikariat Mainz"
"Generalvikariat Militär USA"
"Generalvikariat München und Freising"
"GeneralvikariatMünchen und Freising"
"Generalvikariat Münster"
"Generalvikariat Osnabrück"
"Generalvikariat Paderborn"
"Generalvikariat Passau"
"Generalvikariat Regensburg"
"Generalvikariat Rottenburg-Stuttgart","  4662117-9"
"Generalvikariat SP"
"Generalvikariat Speyer"
"Generalvikariat von Hamburg"
"Generalvikariat von Mainz"
"Generalvikariat von Osnabrück"
"Generalvikariat von Trier"
"Generalvikariat Würzbug"
"Generalvikariat Würzburg"
"Generalvikariat Würzurg"
"Generalvikar Mainz"
"Generalvikar Militär Deutschland"
"Generalvikar Paderborn"
"Generalvikar SP"
"Generalvikar von Aachen"
"Generalvikar von Augsburg"
"Generalvikar von Bamberg"
"Generalvikar von Berlin"
"Generalvikar von Dresden"
"Generalvikar von Dresden Meißen"
"Generalvikar von Dresden-Meißen"
"Generalvikar von Eichstätt"
"Generalvikar von Erfurt"
"Generalvikar von Essen"
"Generalvikar von Feldkirch"
"Generalvikar von  Freiburg"
"Generalvikar von Freiburg"
"Generalvikar von Fulda"
"Generalvikar  von Görlitz"
"Generalvikar von Görlitz"
"Generalvikar von Gurk"
"Generalvikar  von Hamburg"
"Generalvikar von Hamburg"
"Generalvikar  von Hildesheim"
"Generalvikar von Hildesheim"
"Generalvikar von Innsbruck"
"Generalvikar von Köln"
"Generalvikar von Köln, Generalvikar von Paderborn, Generalvikar von Aachen, Generalvikar von Essen, Generalvikar von Münster"
"Generalvikar von Köln, Generalvikar von Paderborn, Genralvikar von Aachen, Generalvikar von Essen, Generalvikar von Münster"
"Generalvikar von Limburg"
"Generalvikar von Linz"
"Generalvikar von Magdeburg"
"Generalvikar von Mainz"
"Generalvikar von München und Freising"
"Generalvikar von  Münster"
"Generalvikar von Münster"
"Generalvikar von Osnabrück"
"Generalvikar von Osnabürck"
"Generalvikar  von Paderborn"
"Generalvikar von Paderborn"
"Generalvikar von Passau"
"Generalvikar von Regensburg"
"Generalvikar von Rottenburg-Stuttgart"
"Generalvikar von Rottenburg-Stuttgart (Diözesanverwaltungsrat)"
