"Bischof von Hildesheim","Katholische Kirche. Diözese Hildesheim. Bischof (2018-: Wilmer)","1194322913","2018"
"Erzbischof von Köln","Katholische Kirche. Erzdiözese Köln. Erzbischof (1969-1987: Höffner)","1139442708","1969-1987"
"Erzbischof von Köln","Katholische Kirche. Erzdiözese Köln. Erzbischof (1989-2014: Meisner)","1135971676","1989-2014"
"Erzbischof von Köln","Katholische Kirche. Erzdiözese Köln. Erzbischof (2014-: Woelki)","1128845172","2015-"
"Bischof von Limburg","Katholische Kirche. Diözese Limburg. Bischof (1949-1981: Kempf)","1194325580","1949-1981"
"Bischof von Limburg","Katholische Kirche. Diözese Limburg. Bischof (1982-2007: Kamphaus)","1194325114","1982-2007"
"Bischof von Limburg","Katholische Kirche. Diözese Limburg. Bischof (2008-2014: Tebartz-van Elst)","1194324681","2008-2014"
"Bischof von Limburg","Katholische Kirche. Diözese Limburg. Bischof (2016-: Bätzing)","1185112855","2016-"
"Bischof von Magdeburg","Katholische Kirche. Diözese Magdeburg. Bischof (1994-2004: Nowak)","1194326889","1994-2004"
"Bischof von Magdeburg","Katholische Kirche. Diözese Magdeburg. Bischof (2005-: Feige)","1194327354","2005-"
"Bischof von Mainz","Katholische Kirche. Diözese Mainz. Bischof (1962-1982: Volk)","1194328059","1962-1982"
"Bischof von Mainz","Katholische Kirche. Diözese Mainz. Bischof (1983-2016: Lehmann)","1095248081","1983-2016"
"Bischof von Mainz","Katholische Kirche. Diözese Mainz. Bischof (2017-: Kohlgraf)","1153501996","2017-"
"Erzbischof von München und Freising","Katholische Kirche. Erzdiözese München und Freising. Erzbischof (1977-1982: Ratzinger)","1194330266","1977-1982"
"Erzbischof von München und Freising","Katholische Kirche. Erzdiözese München und Freising. Erzbischof (1982-2008: Wetter)","1194330665","1983-2008"
"Erzbischof von München und Freising","Katholische Kirche. Erzdiözese München und Freising. Erzbischof (2008-: Marx)","1194331009","2008-"
"Bischof von Münster","Katholische Kirche. Diözese Münster (Westf). Bischof (1980-2008: Lettmann)","1194331858","1980-2008"
"Bischof von Münster","Katholische Kirche. Diözese Münster (Westf). Bischof (2009-: Genn)","1194332102","2009-"
"Bischof von Osnabrück","Katholische Kirche. Diözese Osnabrück. Bischof (1957-1987: Wittler)","1194443540","1957-1987"
"Bischof von Osnabrück","Katholische Kirche. Diözese Osnabrück. Bischof (1987-1995: Averkamp)","119444363X","1988-1995"
"Bischof von Osnabrück","Katholische Kirche. Diözese Osnabrück. Bischof (1995-: Bode)","1194443648","1996-"
"Erzbischof von Paderborn","Katholische Kirche. Erzdiözese Paderborn. Erzbischof (1974-2002: Degenhardt)","1194443699","1974-2002"
"Erzbischof von Paderborn","Katholische Kirche. Erzdiözese Paderborn. Erzbischof (2003-: Becker)","1194443680","2003-"
"Bischof von Passau","Katholische Kirche. Diözese Passau. Bischof (1968-1984: Hofmann)","1194443737","1968-1984"
"Bischof von Passau","Katholische Kirche. Diözese Passau. Bischof (1984-2001: Eder)","1194443893","1985-2001"
"Bischof von Passau","Katholische Kirche. Diözese Passau. Bischof (2002-2012: Schraml)","1194444075","2002-2012"
"Bischof von Passau","Katholische Kirche. Diözese Passau. Bischof (2014-: Oster)","1194444253","2014-"
"Bischof von Regensburg","Katholische Kirche. Diözese Regensburg. Bischof (1962-1981: Graber)","1194693873","1962-1981"
"Bischof von Regensburg","Katholische Kirche. Diözese Regensburg. Bischof (1982-2002: Müller)","1194694195","1982-2002"
"Bischof von Regensburg","Katholische Kirche. Diözese Regensburg. Bischof (2002-2012: Müller)","1194694500","2002-2012"
"Bischof von Regensburg","Katholische Kirche. Diözese Regensburg. Bischof (2013-: Voderholzer)","1194694748","2014-"
"Bischof von Rottenburg-Stuttgart","Katholische Kirche. Diözese Rottenburg-Stuttgart. Bischof (1975-1988: Moser)","1194695892","1975-1988"
"Bischof von Rottenburg-Stuttgart","Katholische Kirche. Diözese Rottenburg-Stuttgart. Bischof (1989-1999: Kasper)","1194695647","1989-1999"
"Bischof von Rottenburg-Stuttgart","Katholische Kirche. Diözese Rottenburg-Stuttgart. Bischof (2000-: Fürst)","1128179903","2000-"
