18763503X,Ecclesiastical Law Journal
16572076X,StGra,Studia Gratiana : post octava Decreti saecularia auctore consilio commemorationi Gratianae instruendae ed. Cur. Jos. Forchielli [u.a.]
166749532,PRMCL,"Periodica de re morali, canonica, liturgica"
169127133,PJR,Praxis Juridique et Religion
131096842,FKRW,Forschungen zur Kirchenrechtswissenschaft
166754528,CARS,Cahiers de l’actualité religieuse et sociale
170178897,CLSA Advisory Opinions,Canon Law Society of America. Roman Replies and CLSA Advisory Opinions
129414999,Cath(M),Catholica
129115150,CCCIC,Communicationes : Pontificia Commissio Codici Iuris Canonici Recognoscendo
130864145,CCCIC,Communicationes : Pontificia Commissio Codici Iuris Canonici Authentice Interpretando
130864196,CCCIC,Communicationes : Pontificium Consilium de Legum Textibus Interpretandis
798559837,CCCIC,Communicationes : Pontificium Consilium de Legum Textibus
355399148,Daimon,Daimon. Annurario di diritto comparato delle religioni
129553344,SRRDS,Sacrae Romanae Rotae decisiones seu sententiae
129088056,DVBL.,Deutsches Verwaltungsblatt
129072931,EGTSK ,Essener Gespräche zum Thema Staat und Kirche
190368187,FamRZ,Familienrechtszeitschrift : Zeitschrift für das gesamte Familienrecht
898938988,FKRG,Forschungen zur kirchlichen Rechtsgeschichte und zum Kirchenrecht
266883028,FVRR,Freiburger Veröffentlichungen zum Religionsrecht
129079782,JZ,Juristenzeitung
130095524,JusEcc,Jus Ecclesiasticum
130194697,KStT,Kanonistische Studien und Texte
130845280,DtZ,Deutsch-deutsche Rechtszeitschrift
167703803,Can.,Canonistica : Beitr. zum Kirchenrecht
130134236,EHS.R,"Europäische Hochschulschriften : Reihe 2, Rechtswissenschaft"
130134244,EHS.G,"Europäische Hochschulschriften : Reihe 3, Geschichte"
130134422,EHS.T,"Europäische Hochschulschriften : Reihe 23, Theologie"
130199117,FVKS,Freiburger Veröffentlichungen aus dem Gebiete von Kirche und Staat
166920312,KNA.AD,Aktueller Dienst : Katholische Nachrichten-Agentur KNA. Ausland
166920320,KNA.ADI,Aktueller Dienst : Katholische Nachrichten-Agentur KNA. Inland
300898495,KNA.AD,Aktueller Dienst Europa : Katholische Nachrichtenagentur KNA
166760560,KNA.ID,Informationsdienst : Katholische Nachrichten-Agentur KNA
165985933,KNA-Katholische Korrespondenz,Katholische Korrespondenz : Katholische Nachrichtenagentur KNA
166920355,KNA.K,Korrespondentenberichte : Katholische Nachrichten-Agentur KNA
166760668,KNA-Ökumenische Information ,Ökumenische Information : Katholische Nachrichten-Agentur
165667435,KABl EF,Kirchliches Amtsblatt : Ausgabe des Bischöflichen Amtes Erfurt-Meiningen
167348604,KABl FR,Amtsblatt der Erzdiözese Freiburg
170747123,KABl AUS,Amtsblatt der Österreichischen Bischofskonferenz
167359355,KABl MZ,Kirchliches Amtsblatt für die Diözese Mainz
167405233,KABl A,Kirchlicher Anzeiger für die Diözese Aachen
167405373,KABl E,Kirchliches Amtsblatt für das Bistum Essen
166765988,KABl K,Amtsblatt des Erzbistums Köln
167405470,KABl MS,Kirchliches Amtsblatt für die Diözese Münster
167405527,KABl PB,Kirchliches Amtsblatt für die Erzdiözese Paderborn
13008980X,MThS.K,Münchener theologische Studien :  3. Kanonistische Abteilung
167359401,KABl BA,Amtsblatt für die Erzdiözese Bamberg : Amtsblatt des Erzbischöflichen Ordinariats Bamberg
328819700,KABl BA,Amtsblatt für das Erzbistum Bamberg
167414488,KABl EI,Pastoralblatt : Amtsblatt des Bistums Eichstätt
166546666,KABl SP,Oberhirtliches Verordnungsblatt für das Bistum Speyer
47911062X,KABl SP,Oberhirtliches Verordnungsblatt : Amtsblatt für das Bistum Speyer
16741416X,KABl WÜ,Würzburger Diözesanblatt : amtliches Verordnungsblatt der Diözese Würzburg
18265169X,KABl HH,Kirchliches Amtsblatt : Erzbistum Hamburg
