1849
"2. Vatikanisches Konzil",,"2024460-5"
"§ 823 BGB"
"Aachen"
"Abeitsrecht"
"Abeitsverhältnis"
"Aberglaube"
"Ablass aus katholischer Sicht"
"Ablass"
"Ablehnung"
"Abrechnung"
"Absetzung"
"Absolution"
"Absolutismus"
"Abstinenzgebot","Abstinenz","4137441-1"
"Abstinzengebot","Abstinenz","4137441-1"
"Abt"
"Abtreibung"
"Abwesenheit"
"ACK"
"Actus controversiae"
"actus defectus discretionis iudicii"
"actus fomalis","actus formalis"
"actus formalis"
"Actus formalis","actus formalis"
"actus formalis defectionis","actus formalis"
"Actus reflexus"
"Ad gentes"
"Ad Gentes"
"Ad-limina-Besuch"
"Ad-Limina-Besuch"
"Ad-liminia-Besuch"
"Administration"
"Administrator"
"Adoption"
"Adoptivkinder"
"Adoptivkind"
"Ad tuendam fidem",,"4838684-4"
"Ad Tuendam Fidem",,"4838684-4"
"Adveniat"
"Advent"
"Adventisten"
"aeqitas canonica","aequitas canonica"
"aequitas","aequitas canonica"
"aequitas canoncia","aequitas canonica"
"aequitas canonica"
"Aequitas canonica","aequitas canonica"
"Afrika"
"Afrika: Pastoral"
"Ägypten"
"Ägyptisches Recht","Ägypten; Recht","4000556-2; 4048737-4"
"AIDS"
"Aids"
"Akademie"
"Akkomodationsdekret"
"Akolythat",,"4141713-6"
"Akteneinsicht"
"Aktenführung"
"Akten"
"Aktenoffenlegung","Akteneinsicht","4141722-7 "
"Aktenoffentegung"
"Aktenschluss"
"Akzessor"
"Albanien"
"Albertus Magnus",,"118637649"
"Aleviten"
"Alexander III."
"Alger von Lüttich"
"Alkohol"
"Alkoholismus"
"Allgemein"
"Allgemeine Nomen","Allgemeine Normen","7695382-8"
"Allgemeine Normen"
"Allgemeines Priestertum"
"Almosen"
"Altardienst"
"Altar"
"Altarweihe"
"Altenheim"
"Altenhilfe"
"Altenpflege"
"Alter"
"Altersgrenze"
"Altersteilzeit"
"Altersversorgung"
"Altersvorsorge"
"Alterversorgung"
"Altkatholiken"
"altkatholische Kirche"
"Alt-Katholische Kirche"
"Altkatholische Kirche"
"America"
"Amerika"
"Amntshandlung"
"Amoris laetitia",,"1102921998"
"Amoris Laetitia",,"1102921998"
"Ämterhäufung"
"Ämterstruktur","Kirchliches Amt; Struktur","4030826-1; 4058125-1"
"Amt","Kirchliches Amt","4030826-1"
"Amtsausübung"
"Amtsbefugnis"
"Amtsbezeichnung"
"Amtsbezeichung"
"Amtsblatt"
"Amtsdauer","Amtsperiode","4313854-8"
"Amtseinführung"
"Amtsenthebung"
"Amtserledigung"
"Amtsgeheimnis",,"4142303-3"
"Amtsgewalt"
"Amtshandlung"
"Amtsmissbrauch"
"Amtspositionen"
"Amtsstruktur"
"Amtsträger"
"Amtsübergabe",,"4280563-6"
"Amtsübernahme"
"Amtsübertragung"
"Amtsvericht"
"Amtsverlust"
"Amtsverständnis"
"Amtsverzicht"
"Amtszeit"
"Amtverständnis","Amtsverständnis"
"Anbetung"
"Änderung"
"Andorra"
"Anerkennung anderer Kirchen","Anerkennung","4128520-7"
"Anerkennung"
"Anforderungen"
"Anforderung"
"Angeklagter"
"Anglicanorum coetibus",,"1031453547"
"Anglicanorum Coetibus",,"1031453547"
"Anglikanische Gemeinschaft","Anglikanische Kirche","4009279-3"
"anglikanische Kirche"
"Anglikanische Kirche"
"Anglikanorum Coetibus",,"1031453547"
"Anglikansiche Kirche"
"Angola"
"Anleihen"
"Anlikanische Kirche"
"Annerkennung",,"4128520-7"
"Anonyme Anzeige"
"Anorderungen"
"Anordnung"
"anorexia nervosa",,"4002144-0"
"Anorexie",,"4002144-0"
"Ansprache Benedikt XVI.","Ansprache; Benedikt XVI.","4048882-2; 118598546"
"Ansprache"
"Anstaltseelsorge"
"Anstaltsseelsorge"
"Anthropologie"
"Antidiskriminierung","Antidiskriminierungsrecht","4242711-3"
"Antidiskriminierungsgesetz"
"Antike"
"Antiqua Ordinatione"
"Antonio Agustín"
"Antrhopologie"
"Antrophologie"
"Anwalt"
"Anzeigepflicht"
"Aonio Paleario"
"Apellationsgericht","Berufungsgericht","4144819-4"
"Apologetik"
"Apostasie"
"Apostolat"
"Apostolicae Curae","Anglikanische Kirche","4009279-3"
"Apostolicam actuositatem",,"4452135-2"
"Apostolicam Actuositatem",,"4452135-2"
"Apostolische Eparchie","Eparchie","4624232-6"
"Apostolische Exarchie","Exarchat","4153295-8"
"Apostolische Konstitution"
"Apostolische Nuntiatur","Nuntiatur","4172179-2"
"Apostolische Poenitentiarie"
"Apostolische Pönentiarie"
"Apostolische Pönientiarie"
"Apostolische Pönitentarie"
"Apostolische Pönitentiarie"
"Apostolische Präfektur",,1071217933
